Bairro,Taxa
AEROCLUBE,8.00
ALTIPLANO,9.00
ALTO DO CÉU,7.50
ANATÓLIA,11.50
BANCÁRIOS,11.50
BESSA,8.50
BRISAMAR,6.50
CABO BRANCO,8.00
CASTELO BRANCO,7.50
CENTRO,8.00
ESTADOS,5.50
EXPEDICIONÁRIOS,6.50
IPÊS,6.50
JAGUARIBE,10.00
JD CIDADE UNIVERSITÁRIA,11.50
JARDIM OCEANIA,9.00
JD SÃO PAULO,11.50
JD LUNA,7.00
JOÃO AGRIPINO,6.50
MANAÍRA,6.50
MANDACARU,7.00
MIRAMAR,7.00
PADRE ZÉ,8.00
PEDRO GONDIM,5.00
PORTAL DO SOL,16.00
ROGER,10.00
SÃO JOSÉ,8.00
TAMBAUZINHO,7.00
TAMBAÚ,8.00
TAMBIÁ,8.50
TORRE,7.50
TREZE DE MAIO,7.50
VARADOURO,10.00
ÁGUA FRIA,12.00
INTERMARES,13.00
RENASCER,8.50
